BOTSWANA,BOTSWANA,FRANCISTOWN,0
EASTERN CAPE,LADY FRERE,VALELOS REST,5419
EASTERN CAPE,LADY GREY,LADY GREY,9755
EASTERN CAPE,LUSIKISIKI,LUSIKISIKI,4820
EASTERN CAPE,MACLEANTOWN,MACLEANTOWN,5280
EASTERN CAPE,MACLEAR,HALCYON DRIFT,5483
EASTERN CAPE,MACLEAR,HARDALE,5481
EASTERN CAPE,MACLEAR,MACLEAR,5480
EASTERN CAPE,MIDDELBURG,MIDDELBURG,5900
EASTERN CAPE,MIDDELBURG,MIDROS,5900
EASTERN CAPE,MIDDLEDRIF,MIDDLEDRIF,5685
EASTERN CAPE,MOLTENO,MOLTENO,5500
EASTERN CAPE,MOUNT AYLIFF,MOUNT AYLIFF,4735
EASTERN CAPE,MOUNT AYLIFF,SUGAR BUSH,5098
EASTERN CAPE,MOUNT FLETCHER,FLETCHERVILLE,4773
EASTERN CAPE,MOUNT FLETCHER,FORSTERS PRIDE,4772
EASTERN CAPE,MOUNT FLETCHER,MOUNT FLETCHER,4770
EASTERN CAPE,MOUNT FRERE,BUFFALO NEK,5086
EASTERN CAPE,MOUNT FRERE,MOUNT FRERE,5090
EASTERN CAPE,MOUNT FRERE,RODE,5087
EASTERN CAPE,NIEU BETHESDA,NIEU BETHESDA,6286
EASTERN CAPE,NKUMANDENI,NKUMANDENI,5141
EASTERN CAPE,OYSTER BAY,OYSTER BAY,6300
EASTERN CAPE,PATENSIE,PATENSIE,6335
EASTERN CAPE,PATERSON,KWAZENELE,6130
EASTERN CAPE,PATERSON,PATERSON,6130
EASTERN CAPE,PATERSON,SIDBURY,6131
EASTERN CAPE,PEARSTON,PEARSTON,5860
EASTERN CAPE,PEARSTON,PELGRIMSRUST,5860
EASTERN CAPE,PEDDIE,PEDDIE,5640
EASTERN CAPE,PEDDIE,WESLEY,5612
EASTERN CAPE,PHAKAMISA,PHAKAMISA,5620
EASTERN CAPE,PORT ALFRED,EAST BANK,6170
EASTERN CAPE,PORT ALFRED,FOREST DOWNS NORTH,6170
